PSME1	0.45252848
ATF1	-0.018624753
RHEB	0.32816789
FOXO3	1.4956889
RHOA	1.5585777
IL1B	-0.39951164
ASAH1	-0.28378099
RALA	-0.63659459
ARHGEF12	-0.11138941
SOX2	-0.62310797
SERPINE1	-0.38765121
HLA-DMA	1.695841
EGF	-0.68614239
APP	-0.10260005
NOS3	-0.29481113
CSNK1A1	-0.15827303
NFATC4	-1.1765727
TBP	0.84266657
BRCA1	0.86614233
PSMD4	0.73895323
ETV1	1.0010448
TERT	-1.4820445
EED	0.60355449
PTK2B	-1.1203575
HSPB1	1.1983724
PIK3C3	0.55402291
CBLB	-0.047186986
DFFB	-1.0857031
TGFB3	-1.1077611
PRKX	-1.308846
CCND1	-0.5456872
NFKBIB	0.90610075
GLI2	-0.80101466
PIK3CA	-1.0580003
RPS6	0.5742889
DFFA	-1.2484326
SUZ12	0.14152497
TICAM1	-0.99030566
EDN1	-1.4665991
SQSTM1	1.2747433
HIF1A	-0.73668176
PTGS2	-0.51645732
PLA2G4A	-1.2202559
MAT2A	-1.0814005
EIF4G1	1.1945622
BTK	0.077439755
MYL9	-0.29400307
PSMD2	-0.56646794
CLTC	1.3675172
ALDOA	0.93237436
STAT5B	0.34033984
ETS1	-1.89344
HSPD1	0.46377322
CEBPA	0.39171368
PSMF1	-1.4503238
ATF6	-0.40489236
RALB	0.48517269
PPARD	-0.52782136
STAT3	0.26485026
DNMT3A	-1.2310305
RASA1	0.2117143
PSME2	0.53487879
FGFR2	-1.1684426
CALM3	-0.96733701
ERO1L	0.20560341
APOE	-0.38677591
PIK3R4	0.83768034
CSNK1E	0.25649616
SKP1	0.12759633
PROS1	0.44847077
PSMD9	0.42643631
NFKB2	-0.70001531
PAK6	0.48354086
GHR	0.21543269
CDK4	0.92235649
PRKAG2	-2.558816
PTPRC	-0.99871993
SPTAN1	1.6810043
COL1A1	-0.17599723
CDC25A	0.31703094
TP53	2.368711
EGR1	0.36791641
MUC1	-0.29985738
AURKB	-0.30215949
NCK2	0.73162907
AURKA	0.70358151
CDK5R1	-0.66772813
FYN	0.11376405
NRAS	-0.89678729
BNIP3L	0.56754637
MMP2	-0.46628016
CDK7	0.32999948
RAC2	-0.21963076
HMOX1	1.1903982
COL4A1	0.17355368
ICAM1	-0.21160267
C5	-1.5098113
NFKBIA	-0.074969351
NFKBIE	-0.93133485
CCNH	-1.1934352
HMGA2	0.28470427
IGFBP3	0.67916214
FRS2	-0.68472302
IFNAR1	-1.1767392
MIF	0.45542321
DAG1	1.7335498
IGF2BP2	0.67316401
ERBB3	3.7611594
FZD1	-1.1967378
PIK3R3	-0.80858505
TFDP1	-0.020384144
SYK	-1.3586946
EIF4EBP1	0.84916365
CCND3	0.25976339
PTPN6	-0.65772158
DUSP4	1.1401669
RB1	-0.42749
PARP1	0.3951664
CDK6	0.74144721
PSMB10	-0.39022824
FOSL1	0.30080926
E2F2	0.37343669
CRK	0.79000449
HSPA8	0.31605244
CCNB1	-0.59883595
NFATC3	2.0344582
PCNA	0.68116832
PSMB8	1.2992343
PRKCQ	-1.2290765
SUV39H1	1.9954743
BIRC2	-0.3941974
PAK1	0.91769892
CDC42	1.0364228
CCNE2	-0.58106542
SNAP25	-0.86057734
PGAM1	0.3124148
NCK1	0.2370193
CD40	-0.82013965
DAXX	0.57827169
CDC20	-0.38506278
CCL2	-1.4126768
SRC	2.3857803
BMP4	-0.29307285
MNAT1	-0.084935926
TLR4	0.19573095
IKZF1	-0.53128076
EPHA3	0.28831974
CASP10	-0.89949709
CASP7	0.5365659
TGFBR2	0.35173428
NOTCH1	-1.2570186
SHC1	-0.34700942
SIRT3	-0.04732132
CYCS	-0.51523441
GNAI1	0.39044622
FBXO11	0.034552887
MEF2C	-0.3922298
DUSP3	-0.68351036
PPP1R13B	-0.97499639
PRKCH	-1.5297205
CCNA1	-0.27846226
BAX	-0.6158883
RPS5	0.15582544
SNCA	0.26190189
CHP	0.7890414
SPP1	2.891331
AXIN1	-0.95558447
CASP2	0.97882509
FZD7	3.1555905
DUSP6	0.92714113
ADRB2	-2.4621584
